Item Name,Quantity,Category,Model/Brand,Serial Numbers,Location,Status,Purchase Date,Purchase Price,Last Maintenance,Warranty Expiration,Notes,Assigned,Asset Number,Supplier
11’ SDI Cable,1,Video,,,,Available,,,,,,,,
12” SDI Cable,3,Video,,,,Available,,,,,,,,
18” SDI Cable,1,Video,,,,Available,,,,,,,,
24-Port Gigabit Ethernet Plus Switch,,Network,Netgear,2H2A3B3V50124,Server Room,In Use,,220,,,,,,
24” SDI Cable,10,Video,,,,Available,,,,,,,,
30” SDI Cable,11,Video,,,,Available,,,,,,,,
36” SDI Cable,9,Video,,,,Available,,,,,,,,
42” SDI Cable,1,Video,,,,Available,,,,,,,,
49” QLED Business Monitor,,Display,Samsung,CWVH4ZRA01547A,Studio,In Use,,1300,,,,,,
49” QLED Business Monitor,,Display,Samsung,CWVWH4ZRA01546P,Studio Office,In Use,,1300,,,,,,
50’ SDI Cable,1,Video,,,,Available,,,,,,,,
60” SDI Cable,1,Video,,,,Available,,,,,,,,
"65"" Class Crystal UHD TU7000 (2020)",,Display,Samsung,0C123CEW101666K,Office Hallway,In Use,,627.99,,,,,,
"65"" Class Crystal UHD TU7000 (2020)",,Display,Samsung,0C123CAW202653P,Studio Hallway,In Use,,627.99,,,,,,Samsung
"65"" UHD 4K Flat Smart TV MU8000 Series 8",,Display,Samsung,06G43CDJ902313E,Studio Office,In Use,,1599,,,,,,Samsung
"65"" UHD 4K Flat Smart TV MU8000 Series 8 (1)",,Display,Samsung,06G43CDJ902313E,Studio Office,In Use,,1599,,,,,,Samsung
Amaran 200X S,,Lighting,Amaran,6SR00308131,Grid,In Use,,349,,,,,,
Amaran 200X S,,Lighting,Amaran,6SR00308095,Grid,In Use,,349,,,,,,
Amaran 200X S,,Lighting,Amaran,6sr00201548,Grid,Available,,349,,,,,,
Apple TV 4K (3rd generation) Wi-Fi,,Video,Apple,TGCMH261RX,Studio Office,In Use,,129,,,,,,
Apple TV 4K (3rd generation) Wi-Fi,,Video,Apple,WQG4HQ0XRN,Studio Office,In Use,,129,,,,,,
Aruba Instant On AP22,,Network,HP,CNNCKPPW1K,Lobby,In Use,,169.99,,,,,,
Aruba Instant On AP22,,Network,HP,CNNCKPPW1W,Josh's Office,In Use,,169.99,,,,,,
Aruba Instant On AP22,,Network,HP,CNNCKPPVFW,Studio,In Use,,169.99,,,,,,
Aruba Instant On AP22,,Network,HP,CNNCKPPW1V,Conference Room,In Use,,169.99,,,,,,
ATEM Television Studio HD8,,Video,BlackMagic,1070090,Studio,In Use,,3295,,,,,,BlackMagic
Behringer WING 48-Channel Digital Mixer,,Audio,Behringer,S191101813BV2,Studio Office,In Use,,3499,,,To be sold,,,Behringer
BenQ Projector,,Video,BenQ,PV1BN01610000,Studio Office,Available,,749,,,,,,BenQ
Black Table Cloths,4,Other,,,,Available,,,,,,,,
Blue Table Cloths,8,Other,,,,Available,,,,,,,,
Catch Box,,Audio,Catch Box,301890394,Studio,In Use,,0,,,,,,
Catch Box,,Audio,Catch Box,3001890708,Studio,In Use,,0,,,,,,
Catch Box Charger,,Audio,Catch Box,10601845,Studio,In Use,,0,,,,,,
Catch Box Charger,,Audio,Catch Box,10601833,Studio,In Use,,0,,,,,,
Catch Box Reciver,,Audio,Catch Box,3001818741,Studio,In Use,,2298,,,,,,
CF396 Series Business Monitor,,Display,Samsung,0QWBHTQK903971L,Studio,In Use,,199,,,,,,
DJI Mic 2,,Audio,DJI,"2000317
",Storage Cabnet,Available,,349,,,,,,Vibe Board
GVM 1200D,,Lighting,GVM,,Studio,In Use,,239,,,,,,
GVM 1200D ,,Lighting,GVM,,Studio,In Use,,239,,,,,,
GVM 1200D,,Lighting,GVM,,Studio,Available,,239,,,,,,
GVM 1200D,,Lighting,GVM,,Studio,Available,,239,,,,,,
GVM 1200D,,Lighting,GVM,,Studio,Available,,239,,,,,,
GVM 1200D,,Lighting,GVM,,Studio,In Use,,239,,,,,,
GVM 1200D,,Lighting,GVM,,Studio,In Use,,239,,,,,,
GVM 1200D,,Lighting,GVM,,Studio,In Use,,239,,,,,,
GVM 1200D,,Lighting,GVM,,Studio,In Use,,239,,,,,,
GVM 1200D,,Lighting,GVM,,Studio,In Use,,239,,,,,,
GVM 1200D,,Lighting,GVM,,Studio,In Use,,239,,,,,,
GVM 1200D,,Lighting,GVM,,Studio,In Use,,239,,,,,,
GVM 1200D,,Lighting,GVM,,Studio,In Use,,239,,,,,,
HDMI to SDI 3G,,Video,Blackmagic,10438204,Storage Cabnet,Available,,75,,,,,,
HDMI to SDI 3G,,Video,Blackmagic,10438187,Josh's Set,In Use,,75,,,,,,
Hitachi Ultravision,,Display,Hitachi,TX3AF09918,Studio,In Use,,699,,,,,,
HPE Networking Instant On 1930 8p Gigabit CL4 PoE 2p SFP 124W Switch JL681A,,Network,HP,CN21KPC722,Server Room,In Use,,244.99,,,,,,
HyperDeck,,Video,BlackMagic,1268664,Studio Office,In Use,,1095,,,,,,BlackMagic
JBL Speaker,,Audio,JBL,P1916-36842,Studio,In Use,,,,,,,,
JBL Speaker,,Audio,JBL,P1916-36843,Studio,In Use,,,,,,,,
"KOORUI E2212F
21.45 Inch FHD Office Monitor",,Computer,Koorui,CAYN9A2151323,Eric's Office,Available,,119.99,,,,,,Koorui
"KOORUI E2212F
21.45 Inch FHD Office Monitor (1)",,Computer,Koorui,CAYN9A2151305,Eric's Office,Available,,119.99,,,,,,Koorui
